Unnamed: 0,BrandName,ProductName,Price,ProductRating,Reviews
86,Bata,Men's Slip-on Fisherman Sandal,588,3.9,3100.0
87,Woodland,Men Camel Single-Strap Sandal,1678,3.7,203.0
88,Liberty,"A-HA BEACHTIME Slipper for Men - Casual Slip-on Flip-Flops/Slippers Footwear, Lightweight EVA Sole – Casual Outdoor Chappal, Monsoon, Rainy Season Footwear for Men",369,3.9,4300.0
89,Bata,Men's Slip-on Fisherman Sandal,448,3.8,835.0
90,Woodland,Men's Floaters-(GP 2669117),1658,3.6,729.0
91,Woodland,Men's Leather Sandal,2618,3.7,232.0
92,Shoetopia,"Girls Flat Slide Sandals – Soft Suede Knot Strap Casual Summer Slip-Ons for Everyday Comfort Stylish, |Footwear Lightweight| Durable Design Perfect for Casual Outings Women",351,4.0,102.0
93,FAUSTO,Men Slip On Sandal,1199,3.5,338.0
94,Bata,Men's Slip-on Fisherman Sandal,764,3.8,973.0
95,Bata,Men's Slip-on Sandal,649,4.0,1700.0
96,Vendoz,Women Stylish Cream Flat Sandals,449,3.6,2400.0
97,SPARX,Men's Sport Sandal,472,4.0,8600.0
98,Campus,Men's 2GC-01A Outdoor Sandals,679,4.1,98.0
99,Bata,Women's Slip-on Sandal,491,3.9,1100.0
100,Bata,Men's Slip-on Sandal,373,3.9,248.0
101,Bata,"Men Lucius Sandal Sandals, Brown,",1342,4.2,95.0
102,Bata Comfit,Women's Slip-on Sandal,636,3.9,270.0
103,Liberty,"A-HA DREAMWALKM Casual Slider For Men - Black, Grey, Dark Grey & Khaki | Slip-on/Flip Flops - Durable and Lightweight | Comfortable and Soft Outsole for Everyday Wear - Stylish Footwear",349,3.9,286.0
104,Liberty,"Lucy & Luke ALEX-02E Casual Slingback Clogs for Kids - Black, Navy Blue & Teal Blue | Slip-On Comfort, Comfortable & Lightweight | Ideal for All-Day Wear | Suitable for Indoors/Outdoors",396,3.8,1200.0
105,SPARX,"Men's Sandal, NavyBLUE ORANGE,12UK,SS0703SNBOR0012",573,5.0,4.0
106,Woodland,Men Dirty Brown Back Strap Floater Sandals,1977,4.0,3600.0
107,adidas,Men's Hengat M Sandals,1079,3.9,840.0
108,Mochi,Men Sandal,1099,3.8,718.0
109,Woodland,Men Camel Closed Toe Sandal,2091,3.9,545.0
110,Bata,Men's Slip-on Sandal,758,4.0,519.0
111,Bata,Men Casual flip flop thong slipper - Dark Brown,479,4.0,238.0
112,Bata,Womens Eleanor Sandal Sandal,769,3.3,941.0
113,SPARX,"mens SS 119 | Latest, Daily Use, Stylish Floaters | Grey Sport Sandal - 6 UK (SS 119)",695,3.4,17.0
114,Bata,Women's Wedge Heel Sandal,629,3.8,1000.0
115,SPARX,Women's Ss 638 Sport Sandal,512,3.9,126.0
116,Woodland,Men Camel Sandal,2306,3.8,177.0
117,Bata,Men's Slip-on Sandal,549,4.1,497.0
118,SPARX,Men's Ss0109s Sandal,680,4.3,171.0
119,Woodland,Men Black Fisherman Sandals,2282,3.9,58.0
120,SPARX,Boys Sandal,620,4.1,138.0
121,Mochi,Women's Faux Leather Flat Fashion Sandals,820,3.8,1000.0
122,Hush Puppies,Men's Slip-on Fisherman Sandal,2050,3.9,1300.0
123,SPARX,Men Buckle Sandal,455,3.9,128.0
124,Campus,Men's 3K-SD-055B Outdoor Sandals,649,4.1,24.0
125,Skechers,Women's Ultra Flex-Spring Motion Sandal,2225,4.0,2.0
126,Woodland,mens OGD 1196112NW Olive Green Sandal - 9 UK (43 EU)(OGD 1196112NW),2618,3.8,105.0
127,SPARX,Men's Ss0468g Outdoor Sandals,593,4.0,8100.0
128,Woodland,mens OGD 1196112NW Olive Green Sandal - 8 UK (42 EU)(OGD 1196112NW),2618,3.9,101.0
129,Bata,Boys Velcro Sandal,955,4.3,49.0
130,Bata Comfit,Women's Carlene Toe Ring Sandal,899,4.1,2400.0
131,Bata,Women's Slip-on Sandal,561,4.1,63.0
132,FLITE,Mens Fl2020g Sandal,678,3.4,29.0
133,SPARX,Boy's Ss 106 Sport Sandal,424,2.8,28.0
134,SPARX,mens Ss0134g Sandal,500,3.6,2.0
135,Bata,Men's Slip-on Sandal,701,4.0,625.0
136,SPARX,Men's Ss0473c Sandal,627,3.2,146.0
137,Centrino,Men's Outdoor Sandals Summer Men's Beach Anti-SKid Casual Sandals for Trekking Walking Hiking Comfortable Close Strap (3259),699,3.2,315.0
138,SPARX,Men's Ss0646g Sandal,649,4.1,40.0
139,Centrino,Men's Sandal |leather sandals for office |New Fashion sandals for Men|Grip Insole for Stability | Comfortable Men Sandal with Premium Comfort & Quality (2029),599,3.4,6300.0
140,Shoetopia,Women's Town Heeled Sandal,599,3.8,343.0
141,Bata,Men's Slip-on Fisherman Sandal,849,3.9,1700.0
142,LUVFEET,Wedge Fashion Sandal For Women's,699,4.0,434.0
143,SPARX,"Men's Sandal, BLACK RED,11UK,SS0703SBKRD0011",573,4.4,5.0
144,SPARX,Men's Ss0647g Sandal,979,3.9,16.0
145,SPARX,Men's Ss 663 Sandal,884,4.5,47.0
146,SPARX,Men's Ss 414 Sport Sandal,721,4.0,5100.0
147,SPARX,"mens SS 105 | Latest, Daily Use, Stylish Floaters | Red Sport Sandal - 6 UK (SS 105)",430,3.8,15.0
148,Bata,Women's Wedge Heel Sandal,719,4.0,962.0
149,SPARX,Men's Ss-694 Sandal,854,3.5,2.0
150,Metro,Men Faux Leather Comfort Sandal,1345,3.5,30.0
151,SPARX,Men's Ss-672 Sandal,674,2.1,7.0
152,Woodland,Men's Gd 2053116 Sandal,1922,4.1,108.0
153,Bata,Men's Slip-on Sandal,561,4.1,1000.0
154,LENSBURY,Women Stylish Slippers Flip Flops Cream Flat Slip on Sandals I Stylish and Casual I Comfortable & Lightweight LBFL35,449,4.1,27.0
155,Bata,Women's Wedge Heel Sandal,731,3.7,60.0
156,Woodland,Men's Leather Sandal,3395,4.0,1900.0
157,Bata,Men's Slip-on Sandal,479,4.1,484.0
158,ASIAN,Mens Virat-04 Flat Casual Sandals With Adjustable Velcro Closure For Easy Wear With Flexible Fitting And Trendy And Stylish Looks With Unique Sole Design | Ideal For Everyday Use For Boys,528,3.8,98.0
159,Mochi,Women Block Heel Sandal,1095,3.8,371.0
160,Bata,Women's Block Heel Sandal,681,3.9,261.0
161,Woodland,Men Black Sandal,2618,3.4,216.0
162,SPARX,Men's Ss-691 Sandal,1099,3.8,9.0
163,Bata,Women's Slip-on Sandal,538,4.0,429.0
164,SPARX,Men's Ss0652g Sandal,729,3.9,15.0
165,SPARX,Men Buckle Sandal,789,4.1,171.0
166,Bata,Women's Wedge Heel Sandal,853,4.0,543.0
167,Hush Puppies,Men's Slip-on Sandal,1754,3.8,76.0
168,Bata,Men's Slip-on Sandal,631,3.7,115.0
169,Bata Comfit,Comfit Women's Slip-on Sandal,909,4.1,787.0
170,Liberty,mens 7123-84 Sandal,1199,3.8,700.0
171,SPARX,Men Buckle Sandal,599,4.0,265.0
172,Bata,Boys Velcro Sandal,911,4.2,30.0
173,Campus,Men Gc-17(Sd-171) Sports Sandals,599,3.8,1000.0
174,adidas,Men Contaro Flip Flop & Slipper,948,3.8,778.0
175,Bata,Women's Block Heel Sandal,632,3.7,505.0
176,Liberty,"Lucy&Luke ALEX-K3E Kids Clogs for Boys & Girls | Lightweight Slip-On Clogs - Beige & White | Durable & Soft EVA Sole | Comfortable & Breathable Sandals for Walking, Beach & Every Day Wear",349,4.4,78.0
177,Bata,Women's Slip-on Sandal,561,3.8,336.0
178,Bata,Men's Slip-on Sandal,987,3.9,800.0
179,FAUSTO,Women Wedge Heel Sandal,699,4.1,382.0
180,SPARX,Boys buckle Sandal,599,3.3,54.0
181,Bata,Women's Slip-on Sandal,549,4.1,187.0
182,Liberty,"Lucy & Luke FLYNN-42 Casual Velcro Sandal For Kids - Pink, Royal Blue & Sea Green | Comfortable and Cushioned Footbed | Durable Summer Footwear for Outdoor | Ideal for Everyday Wear",749,4.2,140.0
183,Crocs,unisex-child Bayaband Sandal,1529,4.2,7800.0
184,Metro,Women's Faux Leather Formal Block Heel Fashion Sandals,1075,4.1,559.0
185,Campus,Men 2Gc-16 Sports Sandals,559,4.0,998.0
186,GLJ,"Kids Comfort Clogs Sandals For Boy And Girl, 1 to 4 Years, Two-Strap Design, Easy To Wear Slip On, Dust and Waterproof, 7101",499,3.8,18.0
187,Liberty,"Leap7x XYLO-M1E Men Sporty Casual Sandals, Grey – Sporty Look Sandals for Men with Velcro Strap – Stylish Sandal for Man – Lightweight and Comfortable Footwear",588,3.7,20.0
188,Woodland,Men's Leather Sandal,1978,3.9,477.0
189,Liberty,A-HA LPMXT-801 Slingback Casual Slip-On Clogs for Women with EVA Sole | Breathable and Lightweight | Soft and Comfortable Footbed | Stylish Home Footwear,430,3.9,3100.0
190,Shoetopia,Women Wedge Heel Sandal,589,3.6,185.0
191,Bata,Women casual Wedge heel sandals,729,3.8,437.0
192,Mochi,Women Flat Sandal,1374,4.2,277.0
193,SPARX,Men's Ss 124 Sport Sandal,512,4.0,75.0
194,Bata,Women's Slip-on Sandal,805,4.0,269.0
195,Bata,Men Fisherman Sandals,634,3.4,224.0
196,Bata,Men's Slip-on Sandal,349,4.1,868.0
197,SPARX,Boy's Ss-670 Sandal,594,4.6,8.0
198,Bata,Men's Slip-on Sandal,479,4.0,529.0
199,PUMA,Unisex Adult Ripper V3 Slipper,999,3.9,1300.0
200,Mochi,Men Synthetic Chappals (16-96),995,3.7,421.0
201,SPARX,Boy's Ss0101c Outdoor Sandals,509,4.1,105.0
202,Mochi,Women Fashion Flat Sandal (41-4157),894,4.0,272.0
203,Mochi,Women's Faux Leather Block Heel Fashion Sandals,1014,3.7,753.0
204,Bata,Women's Slip-on Sandal,581,4.1,357.0
205,Liberty,Senorita MDL-63 Casual Wedge Heel Sandal for Women - Sliver | Lightweight & Comfortable Insolse | Durable Soft Insole | Stylish Footwear and Cushioned Footbed,1099,4.0,87.0
206,Mochi,Women Flat Sandal,820,3.9,163.0
207,Bata Comfit,Women's Slip-on Sandal,1104,3.9,1400.0
208,Bata,Men's Slip-on Sandal,359,3.7,118.0
209,Liberty,"Healers SOFIA-2E Casual Sandal For Women With PU Upper | Lightweight, Durable & Non-Slip | Stylish & All Purpose | Molded EVA Insole | Travel Friendly | Comfortable Footbed",799,3.6,128.0
210,Bata,Women's Platform Heel Sandal,601,4.1,131.0
211,Power,Women's Eona Sport Sandal,726,4.1,137.0
212,Woodland,Men's Leather Sandal,2099,3.5,55.0
213,Bata,Women's Wedge Heel Sandal,934,4.1,161.0
214,SPARX,Men's Ss 497 Sport Sandal,665,4.0,1900.0
215,Bata,Women's Slip-on Sandal,836,4.0,743.0
216,Mochi,Women Wedge Heel Fashion Sandal,1544,3.9,60.0
217,Mochi,Women Flat Fashion Sandal,1134,4.0,161.0
218,Hush Puppies,Women's Slip-on Sandal,1609,4.2,227.0
219,YOHO,"ArchFlex orthopedic slippers for men | Arch support for pain relief | Soft, Anti-Skid, lightweight | comfortable padded straps flip flops for Everyday",647,4.0,2000.0
220,Bata,Women's Platform Heel Sandal,934,3.3,40.0
221,Bata,Women's Slip-on Sandal,521,3.9,967.0
222,U.S. POLO ASSN.,USPA| OVI BLACK| Stylish slider Slippers for Man,965,3.9,162.0
223,Bata,"Women's Sandals Stylish, Comfortable Breathable Footwear",1122,4.0,42.0
224,Bata,Women's Heels Sandals | Stylish Comfortable Footwear for Everyday Wear,864,4.2,55.0
225,Bata,"Women's Sandals Stylish, Comfortable Breathable Footwear",1050,4.3,21.0
226,Bata,Women's Slip-on Sandal,845,3.8,312.0
227,Bata Comfit,Comfit Women's Slip-on Sandal,853,4.0,636.0
228,SPARX,Boys buckle Sandal,502,3.6,25.0
229,Mochi,Women's Embellished Faux Leather Slip-on Heel Fashion Sandals,1194,4.1,361.0
230,Bata,Men's Slip-on Sandal,804,4.0,761.0
231,Liberty,"Coolers Meta-2 Slippers for Man | Leather Slippers for Men | Slip On Chappal for Men | Comfortable Flat Slipper | Gents Slipper for Home, Office & Travel Comfortable Fit for Every Occasion",838,3.7,700.0
232,Woodland,Men's Leather Slippers,1755,4.0,418.0
233,Mochi,Women's Party Slip On Heel Fashion Sandals,913,3.8,576.0
234,Bata,Women's Wedge Heel Sandal,549,3.9,354.0
235,Bata,Women's Block Heel Sandal,719,3.3,1200.0
236,Mochi,Women's Flat Sandals,1488,4.1,457.0
237,Scholl,Women's Slip-on Sandal,1322,3.8,91.0
238,Hush Puppies,Women's Wedge Heel Sandal,1830,3.8,94.0
239,Mochi,Women's Suede Faux Leather Comfort Fashion Slip-on Sandal with Embellished Flower Details,995,4.0,183.0
240,Bata,Women's Block Heel Sandal,719,3.3,1200.0
241,Bata Comfit,Comfit Women's Diamonte E Slipper,769,3.9,145.0
242,Metro,Women's Faux Leather Thong Comfy Fashion Sandals,1076,3.6,111.0
243,Bata,Women Sandals,795,4.0,46.0
244,Scholl,Women's Slip-on Sandal,900,4.1,167.0
